Student_ID,Attendance,Study_Hours,Assignment_Score,Mid1_Score,Mid2_Score,Previous_Semester_Score,Internal_Assessment,Final_Score,Performance_Category
S0001,88.0,5.5,91.0,57.0,46.0,69,40,67.33,Average Performer
S0002,78.0,4.4,73.0,37.0,61.0,56,94,56.43,Average Performer
S0003,64.0,5.1,100.0,38.0,88.0,82,61,72.92,Average Performer
S0004,92.0,6.2,53.0,92.0,87.0,71,79,74.6,Average Performer
S0005,57.0,4.9,75.0,59.0,76.0,81,76,65.79,Average Performer
S0006,70.0,5.1,72.0,81.0,93.0,90,86,77.21,High Performer
S0007,88.0,5.0,62.0,72.0,81.0,53,40,74.66,Average Performer
S0008,68.0,3.7,89.0,49.0,64.0,49,40,59.37,Average Performer
S0009,72.0,3.4,84.0,55.0,75.0,86,96,69.01,Average Performer
S0010,60.0,7.3,41.0,69.0,68.0,90,81,61.81,Average Performer
S0011,75.0,5.3,80.0,91.0,71.0,75,93,71.93,Average Performer
S0012,73.0,2.7,60.0,87.0,40.0,73,81,60.6,Average Performer
S0013,85.0,4.5,41.0,87.0,41.0,48,60,58.75,Average Performer
S0014,89.0,3.3,66.0,80.0,66.0,81,54,71.02,Average Performer
S0015,73.0,7.5,96.0,86.0,66.0,67,56,69.1,Average Performer
S0016,52.0,1.1,48.0,48.0,87.0,50,61,49.22,Needs Attention
S0017,71.0,2.6,40.0,70.0,59.0,53,77,57.42,Average Performer
S0018,51.0,3.6,50.0,46.0,67.0,78,74,55.76,Average Performer
S0019,73.0,4.4,42.0,51.0,89.0,94,84,66.2,Average Performer
S0020,93.0,7.0,91.0,73.0,92.0,86,55,83.48,High Performer
S0021,79.0,1.6,62.0,43.0,41.0,93,47,53.92,Average Performer
S0022,87.0,6.6,65.0,69.0,86.0,58,86,74.79,Average Performer
S0023,51.0,1.4,43.0,94.0,91.0,93,56,68.45,Average Performer
S0024,70.0,6.9,57.0,47.0,46.0,54,56,57.53,Average Performer
S0025,82.0,1.4,94.0,49.0,50.0,67,93,60.98,Average Performer
S0026,61.0,4.7,45.0,52.0,50.0,63,65,52.75,Average Performer
S0027,71.0,5.9,74.0,85.0,77.0,47,52,71.37,Average Performer
S0028,93.0,8.0,61.0,67.0,87.0,82,56,81.25,High Performer
S0029,74.0,7.3,82.0,40.0,70.0,48,77,69.35,Average Performer
S0030,98.0,5.0,54.0,93.0,47.0,86,56,67.77,Average Performer
S0031,76.0,7.4,61.0,61.0,41.0,72,87,61.12,Average Performer
S0032,91.0,1.0,99.0,57.0,70.0,72,53,71.74,Average Performer
S0033,77.0,7.8,76.0,93.0,81.0,58,84,74.41,Average Performer
S0034,65.0,4.4,91.0,61.0,85.0,42,45,70.96,Average Performer
S0035,64.0,6.1,81.0,68.0,43.0,49,74,60.82,Average Performer
S0036,96.0,6.7,51.0,90.0,66.0,79,85,78.63,High Performer
S0037,100.0,6.0,86.0,80.0,45.0,86,53,74.8,Average Performer
S0038,93.0,4.7,88.0,72.0,42.0,81,86,67.52,Average Performer
S0039,52.0,4.3,81.0,48.0,67.0,40,47,59.37,Average Performer
S0040,86.0,6.9,77.0,70.0,57.0,68,100,81.1,High Performer
S0041,100.0,2.4,57.0,87.0,59.0,89,54,70.2,Average Performer
S0042,56.0,7.8,84.0,42.0,90.0,73,93,68.98,Average Performer
S0043,70.0,6.0,74.0,69.0,42.0,90,100,59.35,Average Performer
S0044,58.0,2.4,69.0,53.0,79.0,52,66,63.3,Average Performer
S0045,88.0,6.2,63.0,64.0,56.0,93,52,71.89,Average Performer
S0046,67.0,4.7,81.0,48.0,93.0,40,88,61.65,Average Performer
S0047,53.0,6.0,69.0,93.0,38.0,73,70,57.76,Average Performer
S0048,74.0,6.4,53.0,54.0,74.0,68,92,60.3,Average Performer
S0049,63.0,1.6,45.0,83.0,37.0,87,95,60.34,Average Performer
S0050,99.0,4.5,42.0,59.0,63.0,86,74,69.53,Average Performer
S0051,58.0,7.5,69.0,74.0,75.0,52,99,64.53,Average Performer
S0052,75.0,3.2,46.0,58.0,63.0,87,45,61.75,Average Performer
S0053,51.0,5.2,91.0,48.0,68.0,88,44,63.73,Average Performer
S0054,69.0,3.6,53.0,60.0,68.0,92,61,62.1,Average Performer
S0055,77.0,4.2,48.0,72.0,62.0,68,97,68.16,Average Performer
S0056,96.0,4.8,54.0,57.0,47.0,78,88,61.49,Average Performer
S0057,56.0,4.8,60.0,56.0,49.0,63,62,58.84,Average Performer
S0058,93.0,2.4,74.0,82.0,94.0,65,64,74.81,Average Performer
S0059,57.0,5.8,41.0,91.0,57.0,56,73,67.54,Average Performer
S0060,96.0,1.6,66.0,53.0,78.0,46,65,61.73,Average Performer
S0061,84.0,2.0,41.0,80.0,60.0,52,86,61.4,Average Performer
S0062,63.0,1.0,74.0,85.0,38.0,44,44,56.08,Average Performer
S0063,66.0,1.8,57.0,37.0,60.0,65,65,52.86,Average Performer
S0064,85.0,4.3,53.0,76.0,74.0,88,59,72.47,Average Performer
S0065,99.0,5.2,59.0,53.0,43.0,42,45,55.64,Average Performer
S0066,89.0,6.6,57.0,43.0,89.0,46,45,66.09,Average Performer
S0067,53.0,1.7,49.0,62.0,39.0,88,98,53.96,Average Performer
S0068,51.0,7.0,64.0,54.0,90.0,78,89,66.27,Average Performer
S0069,55.0,6.2,41.0,79.0,66.0,92,57,65.61,Average Performer
S0070,91.0,3.9,64.0,41.0,54.0,40,43,52.81,Average Performer
S0071,53.0,7.5,100.0,48.0,84.0,88,56,70.12,Average Performer
S0072,78.0,7.9,93.0,43.0,45.0,56,96,63.19,Average Performer
S0073,67.0,2.4,72.0,93.0,49.0,82,53,64.88,Average Performer
S0074,75.0,3.7,75.0,94.0,66.0,64,53,75.34,High Performer
S0075,93.0,7.5,70.0,89.0,62.0,42,52,78.0,High Performer
S0076,83.0,6.1,53.0,66.0,56.0,54,46,71.56,Average Performer
S0077,59.0,1.3,40.0,94.0,75.0,68,83,62.46,Average Performer
S0078,85.0,6.5,85.0,53.0,51.0,92,94,73.67,Average Performer
S0079,63.0,6.8,55.0,81.0,93.0,82,54,73.69,Average Performer
S0080,80.0,6.3,93.0,86.0,60.0,71,58,75.59,High Performer
S0081,97.0,6.6,85.0,48.0,78.0,65,82,74.32,Average Performer
S0082,64.0,6.8,100.0,90.0,41.0,55,86,75.88,High Performer
S0083,57.0,2.3,91.0,72.0,76.0,64,83,71.6,Average Performer
S0084,63.0,2.6,42.0,87.0,91.0,93,74,72.33,Average Performer
S0085,72.0,5.4,74.0,95.0,60.0,67,56,70.89,Average Performer
S0086,89.0,7.4,80.0,70.0,59.0,48,74,71.62,Average Performer
S0087,70.0,3.2,45.0,74.0,44.0,95,58,61.54,Average Performer
S0088,65.0,5.1,64.0,51.0,93.0,95,59,67.39,Average Performer
S0089,94.0,5.8,52.0,64.0,79.0,40,75,71.56,Average Performer
S0090,67.0,4.2,92.0,43.0,53.0,68,74,58.34,Average Performer
S0091,96.0,6.0,73.0,67.0,45.0,61,71,69.38,Average Performer
S0092,73.0,7.3,47.0,90.0,47.0,55,97,59.83,Average Performer
S0093,75.0,5.4,60.0,86.0,87.0,80,87,74.7,Average Performer
S0094,74.0,4.8,73.0,59.0,42.0,90,83,70.13,Average Performer
S0095,94.0,4.1,43.0,48.0,74.0,83,79,69.11,Average Performer
S0096,90.0,5.0,64.0,45.0,38.0,90,63,65.96,Average Performer
S0097,78.0,3.5,54.0,87.0,81.0,93,100,73.1,Average Performer
S0098,64.0,3.7,43.0,69.0,65.0,80,100,63.06,Average Performer
S0099,94.0,4.7,84.0,75.0,62.0,46,56,74.75,Average Performer
S0100,50.0,1.5,99.0,93.0,45.0,53,46,63.45,Average Performer
S0101,74.0,2.6,51.0,48.0,66.0,68,82,62.48,Average Performer
S0102,56.0,4.8,71.0,64.0,35.0,58,89,61.59,Average Performer
S0103,58.0,4.0,71.0,75.0,83.0,58,40,62.53,Average Performer
S0104,73.0,3.3,67.0,38.0,81.0,41,74,59.0,Average Performer
S0105,50.0,6.1,52.0,93.0,86.0,80,71,65.99,Average Performer
S0106,93.0,5.9,70.0,38.0,72.0,84,75,65.86,Average Performer
S0107,57.0,2.2,53.0,62.0,58.0,54,52,56.77,Average Performer
S0108,73.0,7.2,59.0,42.0,88.0,42,45,60.35,Average Performer
S0109,60.0,4.5,57.0,36.0,94.0,50,97,63.11,Average Performer
S0110,100.0,6.2,68.0,75.0,91.0,92,53,86.43,High Performer
S0111,66.0,5.0,99.0,95.0,81.0,85,76,80.02,High Performer
S0112,57.0,8.0,45.0,80.0,65.0,69,87,67.96,Average Performer
